Developer,Category,Stage,Anticipated Next Steps,Funder,Date Last Updated
Mynvax,Protein subunit,Pre-clinical,Unknown,Unknown,7/15/2020
"Research
  Institute for Biological Safety Problems, Rep of Kazakhstan",Protein subunit,Pre-clinical,Unknown,Unknown,8/3/2020
Instituto Finlay de Vacunas,Protein subunit,Phase I/II,Phase I/II began August 2020,Unknown,3/9/2021
Soligenix/ University of Hawaii at Mānoa,Protein subunit,Pre-clinical,Pre-clinical testing results released in July 2020,"Soligenix, Inc. ",8/27/2020
Farmacológicos Veterinarios SAC (FARVET SAC) / Universidad Peruana Cayetano Heredia (UPCH),Protein subunit,Pre-clinical,Unknown,Unknown,1/19/2021
"West China Hospital, Sichuan University",Protein subunit,Phase II,Phase II began November 2020; Phase I began end of August 2020; Animal study data published July 2020,Unknown,2/4/2021
"Adimmune
  Corporation",Protein subunit,Phase I,Phase I began end of August 2020; Phase II expected to begin November 2020,Unknown,9/2/2020
University Hospital Tuebingen,Protein subunit,Phase I,Phase I began December 2020,Unknown,2/27/2021
Instituto Finlay de Vacunas,Protein subunit,Phase III,Phase III began March 2021; Phase II began December 2020; Phase I began October 2020,Unknown,3/9/2021
Tampere University,Protein subunit,Pre-clinical,Unknown,Unknown,11/10/2020
Ohio State University/ Kazakh National Agrarian University,Protein subunit,Pre-clinical,Unknown,Unknown,11/10/2020
Kazakh National Agrarian University,Protein subunit,Pre-clinical,Unknown,Unknown,11/10/2020
Neo7Logix,Protein subunit,Pre-clinical,Unknown,Unknown,11/16/2020
"Kazakh National Agrarian University, Kazakhstan/ National Scientific Center for Especially Dangerous Infections",Protein subunit,Pre-clinical,Unknown,Unknown,11/10/2020
"Nanogen
  Pharmaceutical Biotechnology",Protein subunit,Phase I/II,Phase I/II began December 2020,Unknown,1/5/2021
University  Medical Center Groningen/ Akston Biosciences Corporation/ LakePharma,Protein subunit,Pre-clinical,Phase I/II expected to begin January 2021,Unknown,1/12/2021
"Center for Genetic Engineering and Biotechnology (CIGB), Havana",Protein subunit,Phase I/II,Phase I of Phase I/II (MAMBISA) trial began December 2020,Unknown,1/31/2021
"Center for Genetic Engineering and Biotechnology (CIGB), Havana",Protein subunit,Phase I,"Phase II expected to begin February 2021, Phase I (ABDALA) trial began December 2020",Unknown,1/31/2021
Razi Vaccine and Serum Research Institute,Protein subunit,Phase I,Phase I began end of February 2021,Unknown,3/4/2021
"Federal Budgetary Research Institution (FBRI) State Research Center of Virology and Biotechnology ""VECTOR""",Replicating viral vector,Pre-clinical,Unknown,Unknown,8/31/2020
DZIF - German Center for Infection Research/ CanVirex AG,Replicating viral vector,Pre-clinical,Unknown,Unknown,6/30/2020
"The Lancaster University, UK",Replicating viral vector,Pre-clinical,Unknown,Unknown,5/19/2020
Zydus Cadila Healthcare Limited ,Replicating viral vector,Pre-clinical,Unknown,Unknown,7/8/2020
The University of Hong Kong/ Xiamen University/ Wantai Biological Pharmacy,Replicating viral vector,Phase II,Phase II reportedly began November 2020; Phase I reportedly began September 2020; ; Approved for clinical trials in September 2020,Coalition for Epidemic Preparedness (CEPI),1/31/2021
"Federal Budgetary Research Institution (FBRI) State Research Center of Virology and Biotechnology ""VECTOR""",Replicating viral vector,Pre-clinical,Unknown,Unknown,8/31/2020
Shenzhen Geno-Immune Medical Institute,Replicating viral vector,Phase I,Phase I reportedly began February 2020,Unknown,1/31/2021
KU Leuven,Replicating viral vector,Pre-clinical,Unknown,Unknown,5/4/2020
BIOCAD / IEM,Replicating viral vector,Pre-clinical,Unknown,Unknown,Prior to 4/20/2020
Intravacc/ Wageningen Bioveterinary Research/Utrecht Univ.,Replicating viral vector,Pre-clinical,Unknown,Unknown,5/19/2020
University of Wisconsin-Madison / FluGen/ Bharat Biotech,Replicating viral vector,Pre-clinical,Start Phase I trial in fall 2020,Unknown,5/4/2020
Tonix Pharma / Southern Research,Replicating viral vector,Pre-clinical,Preliminary preclinical results reported on 3/17/2021,Unknown,3/17/2021
University of Western Ontario,Replicating viral vector,Pre-clinical,Unknown,Unknown,Prior to 4/20/2020
"Federal Budgetary Research Institution (FBRI) State Research Center of Virology and Biotechnology ""VECTOR""",Replicating viral vector,Pre-clinical,Unknown,Unknown,8/31/2020
Fundacao Oswaldo Cruz and Instituto Buntantan,Replicating viral vector,Pre-clinical,Unknown,Unknown,5/27/2020
"Israel
  Institute for Biological Research/ Weizmann Institute of Science",Replicating viral vector,Phase I/II,Phase I/II began November 2020,Unknown,1/31/2021
Aurobindo,Replicating viral vector,Pre-clinical,Unknown,Unknown,7/15/2020
Farmacológicos Veterinarios SAC (FARVET SAC),Replicating viral vector,Pre-clinical,Unknown,Unknown,1/19/2021
University of Manitoba,Replicating viral vector,Pre-clinical,Unknown,Unknown,11/9/2020
"Cellid
  Co., Ltd./IAVI",Replicating viral vector,Phase I/II,Phase I/IIa trial began December 2020,Unknown,1/31/2021
"Farmacológicos
  Veterinarios SAC (FARVET SAC)",Replicating viral vector,Pre-clinical,Unknown,Unknown,1/19/2021
"Aivita Biomedical, Inc./ National Institute of Health Research and Development, Ministry of Health Republic of Indonesia",Replicating viral vector,Phase I,Phase I/II expected to begin February 2021; Phase I began December 2020,Unknown,1/31/2021
Mahidol University/ The Government Pharmaceutical Organization (GPO)/ Icahn School of Medicine at Mount Sinai,Replicating viral vector,Pre-clinical,Phase I/II expected to begin March 2021,Unknown,2/27/2021
Fudan University / Shanghai JiaoTong University / RNACure Biopharma,RNA-based vaccine,Pre-clinical,Unknown,Unknown,Prior to 4/20/2020
"Greenlight Biosciences
",RNA-based vaccine,Pre-clinical,Unknown,Unknown,5/12/2020
Moderna/ National Institute of Allergy and Infectious Diseases (NIAID)/ Biomedical Advanced Research and Development Authority (BARDA)/ Lonza/ Catalent/ Rovi/ Medidata/ BIOQUAL/ Baxter BioPharma Solutions,RNA-based vaccine,Authorized,"First participants dosed in Phase II/III study (KidCOVE) in pediatric population less than 12 years of age on 3/16/2021; First participants dosed with modified COVID-19 vaccines, designed to address the potential need for booster vaccine candidates, in an amendment to the ongoing Phase II clinical study on 3/10/21; Provided strategy update for addressing SARS-CoV-2 variants of concern, including a variant-specific booster candidate (mRNA-1273.351) based on the B.1.351 variant first identified in the Republic of South Africa, on 2/24/2021; Results from an in vitro study on neutralization of variants of SARS-CoV-2 by mRNA-1273 vaccine-elicited sera announced January 2021; Phase I/II dosed in Japan (TAK-919) on 01/21/2021; Switzerland ""authorized"" on 01/12/2021; U.K. MHRA granted ""temporary authorization"" on 01/08/2021; European Commission granted a ""conditional marketing authorization"" on 01/06/2021; Israel granted ""authorization to import"" on 01/04/2021; Phase III interim safety and primary efficacy results published on 12/30/2020; Health Canada ""authorized"" on 12/23/2020; U.S. FDA issued ""emergency use authorization"" on 12/18/2020; Phase II/III study in adolescents ages 12 to less than 18 dosed on 12/10/2020; Submitted Emergency Use Authorization (EUA) request to the U.S. FDA on 11/30/2020; Phase III primary efficacy analysis results announced 11/30/2020; European Medicines Agency (EMA) started rolling review on 11/17/2020; Phase III interim analysis results announced 11/16/2020; Swissmedic started rolling review on 11/13/2020; UK Medicines and Healthcare products Regulatory Agency (MHRA) started rolling review on 10/27/2020; EMA confirmed marketing authorization submission eligibility on 10/14/2020; Health Canada rolling submission initiated on 10/13/2020; Study protocol for late-stage clinical trials released September 2020; Phase I interim data from older adult cohorts released Aug 2020 and published Sep 2020; Phase III COVE study began July 2020, completed enrollment on 10/22/2020; Animal study results published July/Aug 2020; Phase I interim results published July 2020; FDA fast track designation granted May 2020; Selected for US Operation Warp Speed in April 2020",Coalition for Epidemic Preparedness (CEPI)/ Biomedical Advanced Research and Development Authority (BARDA),3/16/2021
CanSino Biologics/Precision Nanosystems,RNA-based vaccine,Pre-clinical,Unknown,Unknown,5/21/2020
BIOCAD,RNA-based vaccine,Pre-clinical,Animal studies begin in April 2020,Unknown,Prior to 4/20/2020
GeneOne Life Science / Houston Methodist,RNA-based vaccine,Pre-clinical,Unknown,Unknown,1/5/2021
eTheRNA Immunotherapies / EpiVax/ Nexelis/ REPROCELL / Centre for the Evaluation of Vaccination of the University of Antwerp,RNA-based vaccine,Pre-clinical,Start Phase I early 2021,Unknown,5/4/2020
China CDC / Tongji University / Stermina,RNA-based vaccine,Pre-clinical,Unknown,Unknown,Prior to 4/20/2020
Daiichi-Sankyo/ University of Tokyo's Institute of Medical Science,RNA-based vaccine,Pre-clinical,Clinical studies expected to begin March 2021,Unknown,8/31/2020
"Arcturus/Duke-NUS/ Catalent
",RNA-based vaccine,Phase I/II,"Phase IIa of Phase I/II trial began recruiting January 2021; Received approval to proceed with Phase II study in Singapore (December 2020) and the US (January 2021); Phase I/II interim data released December 2020; Pre-clinical results released September and December 2020; Phase I/II began August 2020, initial results expected Q4 2020; Received approval to launch clinical trials in Singapore end of July 2020",Unknown,2/4/2021
"Centro Nacional Biotecnologia (CNB-CSIC), Spain",RNA-based vaccine,Pre-clinical,Unknown,Unknown,Prior to 4/20/2020
CureVac/Bayer/Novartis,RNA-based vaccine,Phase III,"Initiated rolling submission with European Medicines Agency (EMA) on 2/12/2021; Phase III trial began December 2020; Phase IIb/III (HERALD) trial began recruiting December 2020; Phase IIa trial began end of September 2020; Phase I trial began June 2020, interim results reported November 2020; Pre-clinical data released October 2020",Coalition for Epidemic Preparedness (CEPI); European Commission; Gates Foundation; Defense Advanced Research Projects Agency (DARPA); German Government; European Investment Bank (EIB); German Federal Ministry of Education and Research (BMBF),3/4/2021
Imperial College London/ VacEquity Global Health,RNA-based vaccine,Phase I/II,Pre-clinical results published July 2020; Phase I/II trial began June 2020,UK Government,9/10/2020
Fudan University / Shanghai JiaoTong University / RNACure Biopharma,RNA-based vaccine,Pre-clinical,Unknown,Unknown,Prior to 4/20/2020
Sanofi Pasteur/ Translate Bio,RNA-based vaccine,Pre-clinical,"Phase I expected to be dosed March 2021, interim results expected in 3Q 2021; Pre-clinical results released October 2020",Unknown,3/14/2021
"RNAimmune, Inc.",RNA-based vaccine,Pre-clinical,Unknown,Unknown,5/4/2020
BioNTech/ Pfizer/ Fosun Pharma/ Rentschler Biopharma,RNA-based vaccine,Authorized,"Evaluation of the safety and immunogenicity of a third dose (30 µg booster of the current vaccine) 6 to 12 months after receiving initial two-dose regimen began 2/25/2021; New stability data at standard freezer temperature was submitted to the U.S. FDA as of 2/19/2021; Results from in vitro studies on neutralization of variants of SARS-CoV-2 by BNT162b2 vaccine-elicited sera announced January 2021; Phase I (China) preliminary safety and immunogenicity data released January 2021; Argentina authorized under ""emergency registration"" on 12/22/2020; European Commission granted a ""conditional marketing authorisation"" (CMA) on 12/21/2020, following European Medicines Agency (EMA) recommendation to grant CMA; U.S. FDA issued ""emergency use authorization"" on 12/11/2020; Mexico COFEPRIS granted ""emergency use authorization"" on 12/11/2020; Saudi Food and Drug Authority (SFDA) ""approved the registration"" of the vaccine on 12/10/2020; Health Canada ""authorized"" on 12/9/2020; Bahrain granted ""emergency use authorization"" on 12/4/2020; U.K. MHRA granted ""temporary authorization for emergency use"" on 12/2/2020; Submitted Emergency Use Authorization (EUA) request to the U.S. FDA on 11/20/2020; Phase III complete analysis results announced 11/18/2020, interim analysis results announced 11/09/2020; Phase I data published October 2020; FDA approved late-stage trial enrollment of children 12 years and older in October 2020; EMA rolling submission initiated on 10/6/2020; Study protocol for late-stage clinical trials released Sept 2020; Amended protocol to FDA to expand trial enrollment to 44,000 participants; Phase IIb/III trial began Jul 2020; FDA granted Fast Track designation for BNT162b1 and BNT162b2 in Jul 2020; Selected for US Operation Warp Speed in Jul 2020; Phase I/II began Apr 2020; preliminary data released Jul 2020, additional data published Aug, Sept, and Dec 2020; Pre-clinical data released Sept 2020 and Dec 2020",Unknown,3/9/2021
"Federal Budgetary Research Institution (FBRI) State Research Center of Virology and Biotechnology ""VECTOR""",RNA-based vaccine,Pre-clinical,Unknown,Unknown,8/31/2020
Ziphius Therapeutics/ Ghent University,RNA-based vaccine,Pre-clinical,Unknown,Unknown,4/28/2020
"IDIBAPS- Hospital Clinic, Spain",RNA-based vaccine,Pre-clinical,Unknown,Unknown,6/1/2020
Max-Planck Institute of Colloids and Interfaces,RNA-based vaccine,Pre-clinical,Unknown,KHAN-1 Technology Transfer Fund I GmbH & Co KG,11/9/2020
Chimeron Bio/ George Mason University's National Center for Biodefense and Infectious  Disease,RNA-based vaccine,Pre-clinical,Unknown,Unknown,6/17/2020
Chula Vaccine Research Center/University of Pennsylvania,RNA-based vaccine,Pre-clinical,Phase I expected to begin May 2021,Unknown,2/27/2021
People's Liberation Army (PLA) Academy of Military Sciences/ Walvax Biotech,RNA-based vaccine,Phase I,"Phase Ib began end of October 2020, Phase I trial began end of June 2020",Unknown,2/27/2021
Selcuk University,RNA-based vaccine,Pre-clinical,Unknown,Unknown,7/9/2020
Gennova,RNA-based vaccine,Pre-clinical,Unknown,Unknown,7/15/2020
Elixirgen Therapeutics/ Fujita Health University,RNA-based vaccine,Pre-clinical,"Clinical trials are expected to begin at Fujita Health University Hospital in Aichi, Japan in Q1 2021",Japan Agency for Medical Research and Development (AMED),9/1/2020
"Globe Biotech Limited, Bangladesh",RNA-based vaccine,Pre-clinical,Phase I/II protocol submitted to Bangladesh Medical Research Council (BMRC) on 1/17/2021 for approval to begin clinical trials,Unknown,1/18/2021
"Infectious Disease Research Institute/ Amyris, Inc.",RNA-based vaccine,Pre-clinical,Phase I expected to begin mid-2021,Unknown,11/16/2020
Curevac/GSK,RNA-based vaccine,Pre-clinical,"CureVac and GSK aim to develop a multi-valent candidate vaccine to address emerging variants for pandemic and endemic use; Development to begin immediately (February 2021) targeting vaccine availability in 2022, subject to regulatory approval",Unknown,2/5/2021
CureVac/UK Government (Vaccines Taskforce),RNA-based vaccine,Pre-clinical,Collaboration to develop and manufacture variant vaccines for commercial supply and distribution in the UK and its territories was entered in February 2021,Unknown,2/5/2021
Providence Therapeutics Holdings Inc.,RNA-based vaccine,Phase I,Phase I dosed January 2021,Unknown,2/27/2021
University of Manitoba,Virus-like particle,Pre-clinical,Unknown,Unknown,11/9/2020
Medicago Inc./ GlaxoSmithKline,Virus-like particle,Phase II/III,Phase III portion of the ongoing Phase II/III trial began March 2021;Phase II portion of the Phase II/III trial dosed December 2020; Phase II/III began recruiting November 2020; Phase I interim results released November 2020; Phase I began July 2020,Unknown,3/16/2021
"ARTES Biotechnology
",Virus-like particle,Pre-clinical,Unknown,Unknown,5/4/2020
University of Sao Paulo,Virus-like particle,Pre-clinical,Unknown,Unknown,5/19/2020
VBI Vaccines / National Research Council of Canada/ Therapure Biomanufacturing,Virus-like particle,Pre-clinical,"Phase I/II trial of VBI-2902a expected to begin March 2021; Phase I trial of VBI-2905, targeting the B.1.351 variant, expected to begin mid-year 2021",Coalition for Epidemic Preparedness (CEPI),3/14/2021
Saiba GmbH,Virus-like particle,Pre-clinical,Unknown,Unknown,Prior to 4/20/2020
Doherty Institute,Virus-like particle,Pre-clinical,Unknown,Unknown,7/8/2020
Imophoron Ltd / Bristol University's Max Planck Centre,Virus-like particle,Pre-clinical,Unknown,Unknown,Prior to 4/20/2020
OSIVAX,Virus-like particle,Pre-clinical,Unknown,European Innovation Council (EIC),7/9/2020
Mahidol University/ The Government Pharmaceutical Organization (GPO)/ Siriraj Hospital,Virus-like particle,Pre-clinical,Unknown,Unknown,6/30/2020
"Navarrabiomed, Oncoimmunology group",Virus-like particle,Pre-clinical,Unknown,Unknown,6/1/2020
IrsiCaixa AIDS Research/ IRTA-CReSA/ Barcelona Supercomputing Centre/ Grifols,Virus-like particle,Pre-clinical,Unknown,Unknown,6/23/2020
Middle East Technical University,Virus-like particle,Pre-clinical,Unknown,Unknown,7/9/2020
Medicago Inc./ Dynavax,Virus-like particle,Pre-clinical,Phase I to start mid-July 2020,Unknown,7/10/2020
"Medicago
  Inc./ GSK",Virus-like particle,Pre-clinical,Unknown,Unknown,7/14/2020
Bezmialem Vakif University,Virus-like particle,Pre-clinical,Unknown,Unknown,7/21/2020
Serum Institute of India/ Accelagen Pty/ SpyBiotech,Virus-like particle,Phase I/II,Phase I of follow up Phase I/II clinical trial adjuvanted with CpG 1018 dosed December 2020; Phase I/II began September 2020,Unknown,1/31/2021
Tampere University,Virus-like particle,Pre-clinical,Unknown,Unknown,11/9/2020
Max-Planck Institute for Dynamics of Complex Technical Systems,Virus-like particle,Pre-clinical,Unknown,Unknown,11/9/2020
Icosavax,Virus-like particle,Pre-clinical,Phase I expected to begin mid-2021; Pre-clinical results published October 2020,Unknown,11/18/2020
Arizona State University ,Virus-like particle,Pre-clinical,Unknown,Unknown,2/12/2021
Arizona State University ,Virus-like particle,Pre-clinical,Unknown,Unknown,2/12/2021
"Catholic University/ Millennium Institute of Immunology and Immunotherapy/ Technological Consortium in Clinical Molecular Biomedicine, Chile",Unknown,Pre-clinical,Unknown,Unknown,4/23/2020
Tulane University,Unknown,Pre-clinical,Unknown,Unknown,Prior to 4/20/2020
ISR Immune System Regulation,Unknown,Pre-clinical,"Animal study results expected in Q2 2020, Phase I begins Q4 2020",Unknown,Prior to 4/20/2020
HaloVax (Voltron Therapeutics) / The Vaccine & Immunotherapy Center at the Massachusetts General Hospital,Unknown,Pre-clinical,Animal study results by October 2020,Analog Devices Foundation,4/21/2020
Vir Biotechnology / GSK,Unknown,Pre-clinical,Unknown,Unknown,Prior to 4/20/2020
Emergex Vaccines/ George Mason University's National Center for Biodefense and Infectious Diseases (NCBID),Unknown,Pre-clinical,Unknown,Unknown,4/24/2020
AbVision,Unknown,Pre-clinical,Unknown,Unknown,5/13/2020
Precision Vaccines Program at Boston Children's Hospital,Unknown,Pre-clinical,Unknown,Unknown,Prior to 4/20/2020
"Oragenics (Noachis Terra)/ Aragen Bioscience
",Unknown,Pre-clinical,Phase I expected to start in early 2021,Unknown,9/28/2020
Vivaldi Biosciences/ Esco Aster Pte Ltd,Unknown,Pre-clinical,Unknown,Unknown,6/2/2020
Adeleke University,Unknown,Pre-clinical,Unknown,Unknown,6/30/2020
Codiak BioSciences/ Ragon Institute,Unknown,Pre-clinical,Unknown,Unknown,6/4/2020
Vault Pharma/ University of California Los Angeles,Unknown,Pre-clinical,Unknown,Unknown,6/17/2020
NidoVax,Unknown,Pre-clinical,Unknown,Unknown,6/18/2020
"United
  Biomedical (UBI)/ c19",Unknown,Pre-clinical,,Unknown,9/2/2020
"OSE
  Immunotherapeutics",Unknown,Pre-clinical,"Clinical
  trials expected to begin end of 2020/early 2021; Pre-clinical results
  released in August 2020",Unknown,11/9/2020
"University of California, Los Angeles (Horwitz Lab)",Replicating bacterial vector,Pre-clinical,Unknown,Unknown,5/10/2020
Farmacológicos Veterinarios SAC (FARVET SAC),Replicating bacterial vector,Pre-clinical,Unknown,Unknown,1/19/2021
Institut Pasteur/ Themis/ University of Pittsburgh CVR/ Merck Sharp & Dohme,Dormant / Discontinued,Phase I/II,Development discontinued following review of Phase I findings on 1/25/2021; Phase I results to be submitted for publication; Phase I/II began September 2020; Animal testing began April 2020,Coalition for Epidemic Preparedness (CEPI),1/25/2021
IAVI/ Merck,Dormant / Discontinued,Pre-clinical,Development discontinued following review of Phase I findings on 1/25/2021; Phase I results to be submitted for publication; Phase I enrollment began November 2020; Selected for US Operation Warp Speed in April 2020; clinical studies to start in 2020,Biomedical Advanced Research and Development Authority (BARDA); Defense Threat Reduction Agency (DTRA) of the U.S. Department of Defense (DoD),1/25/2021
Wuhan Jinyintan Hospital,Dormant / Discontinued,Clinical,No trial updates since February 2020,Unknown,7/27/2020
Sanofi / Regeneron; Feinstein Institutes; REMAP-CAP global trial,Dormant / Discontinued,Clinical,"Phase III (US) results released July 2020 and US trial stopped, Phase III (ex-US in severe and critical hospitalized patients continues) results expected 3Q 2020; trials outside of US stopped",Biomedical Advanced Research and Development Authority (BARDA),9/2/2020
"Hu'nan Haiyao hongxingtang Pharmaceutical Co., Ltd (Novaferon) 
",Dormant / Discontinued,Clinical,Unknown,Unknown,7/27/2020
The First Affiliated Hospital of Fujian Medical University/Novartis,Dormant / Discontinued,Clinical,,Unknown,7/27/2020
University of Queensland/CSL/Seqirus,Dormant / Discontinued,Phase I,Phase I results released February 2021; Phase II/III trials will not proceed following Phase I completion (announced 12/11/2020); Phase I trial began July 2020,Coalition for Epidemic Preparedness (CEPI)/Queensland Government/Federal Government (Australia)/Paul Ramsay Foundation,2/16/2021
The First Affiliated Hospital of Guangzhou Medical University,Dormant / Discontinued,Clinical,,,Prior to 4/20/2020
The Second Hospital of Nanjing Medical University,Dormant / Discontinued,Clinical,,,Prior to 4/20/2020
"Mianyang Central Hospital 
",Dormant / Discontinued,Clinical,"Chinese trial site last updated March 30, 2020",,5/7/2020
Numerous trials with Chinese research sponsors,Dormant / Discontinued,Clinical,"Chinese trial site last updated February 16, 2020 - March 4, 2020 for various trials",,5/7/2020
"Roche/the First Hospital Affiliated to Zhejiang University's Medical School
",Dormant / Discontinued,Clinical,"Chinese trial site last updated February 12, 2020",,5/10/2020
